	dg_d	dg_v	ca3_d	ca3_v	ca2	ca1_d	ca1_i	ca1_v	sst	pv
ENSMUSG00000000001	8.13125	11.7634	18.3015	10.5059	10.7192	7.85931	11.3777	9.81857	15.882	8.84497
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	0	2.59786	0.621743	1.24848	2.20752	0.201932	2.45102	1.37264	0.78859	0.0754442
ENSMUSG00000000031	0	0	0.178003	0	0	0	0	0	2.2063	0
ENSMUSG00000000037	0.0112551	0.303125	0.0316812	0.185555	0.69732	0.0112204	0.203814	0.0883647	0.186945	0.0771594
ENSMUSG00000000049	0.274916	0	0.0814607	0.092551	0.45634	0.224091	0	0.0407705	0.102478	0.133594
ENSMUSG00000000056	5.53183	10.6243	11.1534	13.3128	15.688	13.4578	14.9539	17.6221	7.19787	10.9807
ENSMUSG00000000058	0	0.200999	1.09621	0.505523	0.98924	0.151403	0.381326	2.00755	5.44481	3.01562
ENSMUSG00000000078	10.6212	5.95159	13.1901	10.2114	13.2521	11.8166	16.6036	21.3635	39.0701	19.7139
ENSMUSG00000000085	35.8275	32.1679	26.2312	26.452	24.7584	32.322	36.2137	27.7294	17.3309	15.5094
ENSMUSG00000000088	145.345	54.236	105.697	91.5931	115.334	90.3093	87.9494	103.876	369.863	463.189
ENSMUSG00000000093	0	0.0131722	0	0	0.0188583	0	0	0	0.0576524	0
ENSMUSG00000000094	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0.0417494	0.0500437	0.0787947	0.0715111	0	0.0125173	0.0125277	0.209634	0.828249
ENSMUSG00000000125	0.017726	0.0939761	0.124671	0.0944763	0.121768	0.277632	0	0.171757	0.0137367	0.103107
ENSMUSG00000000126	1.70944	1.90752	0.144502	1.20301	0.00538512	2.89885	4.54258	3.03076	0.108924	0.0134852
ENSMUSG00000000127	11.4918	8.24399	15.0625	11.8728	15.4977	16.4439	18.1082	13.1523	10.2319	8.51572
ENSMUSG00000000131	140.303	67.5645	79.5254	59.0994	59.6755	63.9901	71.2527	54.8237	42.4188	48.903
ENSMUSG00000000134	14.9533	6.29658	5.82419	5.53153	8.4355	7.73842	6.34464	6.45474	8.8672	4.75012
ENSMUSG00000000142	9.90968	13.3276	2.83083	4.60191	3.4611	4.20393	7.56829	6.02169	4.26177	1.80336
ENSMUSG00000000148	2.50259	1.33342	1.22845	1.26381	1.55224	1.26076	1.90135	2.03681	0.596857	2.08821
ENSMUSG00000000149	3.36706	4.78109	5.80045	7.26335	17.7034	3.50938	4.41135	7.21619	7.26318	7.0509
ENSMUSG00000000154	0	0	0	0	0	0	0	0	0.850264	0.212755
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0.122905	0.0985725	0	0.0145481	0.0826095	0	0	0.0539292	0	0
ENSMUSG00000000167	1.02568	1.44982	0.292936	1.00211	0.73872	0.765041	0.506355	0.445564	0.0164408	1.07365
ENSMUSG00000000168	37.9225	52.7395	137.168	91.6222	190.145	63.4645	67.6355	65.1749	65.7953	69.0298
ENSMUSG00000000171	27.793	47.0217	67.5875	61.9483	82.8538	61.9074	79.4109	67.2477	112.325	154.383
ENSMUSG00000000182	0.120333	0.105109	0.0851363	0.0936668	0.0394117	0.0448127	0.0475576	0.0475969	0.0489109	0.0886039
ENSMUSG00000000183	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184	13.5046	24.2626	43.8455	24.9791	13.1907	4.51283	9.65563	10.8529	6.38071	2.19998
ENSMUSG00000000194	32.6352	10.4473	6.375	7.12755	8.69984	5.93904	8.56124	7.13034	12.6129	9.14969
ENSMUSG00000000197	11.5491	15.7303	19.1597	24.0466	20.103	14.9754	19.7229	23.3335	14.7666	10.5413
ENSMUSG00000000202	0.227227	0.137291	1.3538	0.346077	0.0388689	0.724112	1.02604	1.05767	0.164723	0
ENSMUSG00000000204	0	0	0	0	0	0	0.0236355	0	0.359982	0
ENSMUSG00000000214	0	0	0	0	0	0	0.0808648	0.0337266	0.149004	1.38108
ENSMUSG00000000215	0	0.286412	0	0	0	0.0402145	0	0	0	0
ENSMUSG00000000216	0.0911485	0	0	0	0.226815	0.00543566	0	0.304527	0	0
ENSMUSG00000000223	11.5746	10.8824	14.2541	7.21752	19.4052	23.2884	22.8543	24.4208	9.546	12.6556
